X1,X2,X3,X4
50.37,73.56,103.80,103.51
45.80,84.55,67.92,100.84
51.60,75.33,57.86,53.47
38.33,81.64,42.45,52.23
61.11,81.73,323.07,106.77
54.20,77.54,38.46,114.80
48.06,78.34,46.99,46.14
51.08,72.25,102.84,95.30
55.66,70.17,125.56,39.30
45.05,77.79,30.59,48.04
54.15,64.08,116.36,34.84
64.70,78.21,32.35,56.25
36.29,75.62,43.81,52.39
38.99,94.90,17.02,57.35
43.81,63.02,27.41,46.08
35.94,61.08,17.84,105.69
31.58,77.49,22.59,106.83
33.00,61.86,163.81,50.35
48.45,76.02,90.52,94.83
39.08,70.06,115.11,93.75
59.67,70.76,119.53,48.01
39.04,72.70,107.10,45.46
62.72,78.07,15.44,101.62
31.16,80.17,112.64,98.12
60.48,97.87,27.35,46.41
62.65,80.74,120.89,62.12
54.12,55.15,90.75,46.15
32.13,74.77,53.07,35.60
62.40,61.35,99.37,58.76
54.61,62.31,64.20,111.45
43.70,92.60,17.92,59.23
32.30,75.06,41.43,120.03
61.98,79.35,27.62,110.55
42.69,81.31,94.31,118.00
59.03,83.42,62.97,112.17
39.38,86.16,69.33,46.17
54.15,78.96,26.17,38.34
47.83,94.89,23.32,107.69
52.55,102.48,35.16,55.59
47.28,97.91,18.97,58.17
44.70,84.34,191.12,112.23
61.98,72.79,12.32,113.64
44.04,87.27,104.06,101.89
60.58,85.47,31.78,48.08
49.10,68.42,27.43,90.45
32.93,85.80,93.03,58.41
40.72,64.72,30.47,108.09
60.09,80.38,13.79,52.32
33.68,64.05,94.93,41.08
45.60,90.50,13.47,121.27
54.59,66.82,60.31,115.29
49.58,70.03,24.55,105.46
38.44,92.16,42.52,106.38
50.29,87.41,135.02,105.68
46.69,86.55,203.64,95.78
35.84,90.08,20.04,106.54
45.37,69.55,43.21,83.37
62.60,71.16,34.71,47.64
32.04,91.21,60.32,114.65
47.47,71.37,96.59,45.30
57.83,65.62,14.87,106.17
38.36,87.25,68.40,103.66
34.48,79.67,99.16,60.16
39.77,90.12,231.11,98.79
58.01,83.47,139.73,53.28
42.70,70.14,39.44,44.31
57.77,70.33,135.84,105.22
34.18,76.23,94.35,102.81
63.91,77.67,44.65,56.20
34.74,61.40,34.25,96.40
47.19,72.95,65.53,57.02
65.64,82.12,12.34,48.22
42.76,75.87,20.31,108.53
51.92,77.46,17.99,112.85
34.35,81.35,200.00,93.28
59.81,61.69,23.96,40.77
43.96,86.09,58.48,42.54
63.69,71.66,16.48,112.28
30.43,66.27,27.62,49.61
53.26,75.84,40.89,92.19
37.21,80.36,26.42,103.41
65.96,86.79,64.35,35.64
52.14,85.80,122.31,55.48
63.59,78.94,22.34,92.88
41.44,60.71,28.78,56.80
61.28,78.59,21.10,38.20
66.56,86.75,416.40,46.98
44.60,56.81,20.12,40.51
46.66,81.91,88.66,31.23
36.91,84.67,108.58,42.86
51.27,70.90,391.61,48.41
51.90,87.57,42.26,53.12
56.76,85.52,118.66,49.27
51.79,91.73,55.50,36.20
53.19,87.44,15.49,41.55
39.87,77.08,101.95,100.76
42.15,87.17,42.43,114.32
46.18,99.56,184.77,101.13
63.86,63.92,75.18,52.48
59.05,78.33,148.40,54.52
48.28,86.45,279.70,114.20
32.21,89.86,55.46,104.74
42.66,85.55,52.11,106.22
64.12,85.30,317.96,41.06
29.97,82.02,26.38,99.25
62.55,62.38,150.58,57.05
55.01,87.33,103.85,44.64
55.90,75.99,67.48,97.12
65.17,76.78,129.33,103.72
30.66,74.26,89.84,49.60
47.49,86.19,79.33,105.33
66.37,56.17,42.73,40.21
39.91,54.40,15.47,41.41
49.47,100.95,13.80,110.81
35.49,76.58,52.23,102.45
50.18,78.05,95.58,110.00
55.64,84.46,34.10,110.39
31.12,95.47,20.58,86.29
29.62,76.22,86.28,101.53
59.77,70.78,54.79,59.65
29.72,79.34,87.56,37.03
30.79,92.21,56.95,43.76
30.97,57.24,215.48,87.51
33.59,80.85,47.76,45.57
35.05,68.87,66.05,61.06
35.96,99.88,164.98,36.17
51.16,59.93,49.99,43.30
41.14,67.78,91.99,102.49
34.39,68.10,23.60,44.19
62.37,96.55,17.80,94.90
48.43,94.31,91.52,93.93
62.21,88.99,28.51,53.66
43.78,81.78,140.10,105.10
64.48,75.95,31.41,86.09
43.22,89.06,113.70,86.93
56.39,76.39,41.11,50.47
41.47,74.71,115.78,86.61
49.72,81.09,47.45,91.07
34.66,67.11,52.03,98.61
64.86,84.34,27.62,52.75
36.20,81.27,114.22,109.85
32.23,67.83,180.40,33.00
35.52,71.95,17.55,53.49
32.91,78.75,23.75,107.03
41.85,66.55,69.81,103.92
41.43,95.40,19.66,53.76
39.88,68.12,62.56,96.49
42.47,59.08,16.74,50.74
32.67,80.28,70.55,103.70
55.67,68.64,42.54,91.37
53.52,92.81,13.85,98.86
42.98,81.86,46.98,42.29
49.47,57.61,35.64,100.68
52.95,86.37,38.38,59.65
53.95,76.52,48.55,106.15
42.45,99.78,41.45,46.34
64.71,78.47,26.14,102.26
34.03,87.27,13.28,44.57
65.47,100.59,91.96,48.05
40.23,81.68,31.28,98.63
62.93,84.30,35.10,113.56
37.56,111.57,77.12,92.87
60.86,97.71,20.33,105.26
37.60,62.66,12.78,91.89
64.00,80.15,143.86,61.04
40.81,93.74,42.13,63.24
52.60,87.03,12.34,37.14
38.75,92.29,76.40,41.25
44.86,66.90,15.71,53.46
55.67,76.79,12.72,86.76
65.87,77.49,87.37,108.38
52.73,94.36,19.17,45.13
58.50,69.40,33.85,43.39
64.54,70.78,39.26,106.75
49.56,80.60,98.93,109.32
54.89,75.71,38.78,109.79
46.87,54.40,123.73,101.88
57.38,64.09,26.07,55.55
32.18,61.74,35.39,103.36
29.80,69.23,80.50,78.99
56.65,72.82,48.97,43.62
46.63,85.99,72.88,41.19
52.25,77.55,22.41,105.17
57.75,86.45,56.60,102.55
52.19,102.20,123.68,100.95
30.85,75.82,62.34,56.31
66.64,70.41,176.20,52.50
34.30,76.98,27.68,97.75
48.32,80.81,35.35,103.55
53.87,70.86,16.56,111.97
54.43,93.42,36.93,94.33
42.94,73.28,67.65,50.31
52.43,60.85,96.65,105.35
48.26,66.18,12.69,98.94
59.37,72.21,36.93,61.21
47.42,61.47,21.08,53.29
40.77,57.86,50.30,54.56
47.66,82.72,29.20,47.71
46.12,70.38,96.54,57.38
59.48,78.31,30.67,52.66
